,x,y,morphology,dgrp
0,16.57997844371953,-11.41201716614938,1.9266735212622903,DGRP_026
1,2.6714996793321273,0.08254226296052031,1.73955384073568,DGRP_031
2,2.6714996824255697,0.0825423242191125,1.7395527049709125,DGRP_031
3,0.3663660089219611,2.1838164179423645,1.819831105412628,DGRP_032
4,10.748226866680326,15.092884143265495,1.869408998890515,DGRP_059
5,2.020284960695478,-12.079235683031298,1.9742682417962716,DGRP_075
6,-1.6099179177357033,-3.204621879746501,2.097388019163904,DGRP_100
7,-1.6099179177357021,-3.2046218797465054,2.097358732599275,DGRP_100
8,-1.8375448641361307,29.82608106466997,1.97962839282044,DGRP_105
9,17.36925907531101,-16.347332613279626,1.86352407262246,DGRP_176
10,0.9678800490572043,-28.207243275052114,1.9919699028656401,DGRP_195
11,22.364649143425552,8.591137775899899,1.8323886592106773,DGRP_208
12,-19.625156758575365,-1.2546504422093907,2.0062477842058684,DGRP_228
13,0.8265849436494749,10.466503753217761,1.966607690745666,DGRP_304
14,5.386411604230325,8.336669198982054,1.8595970308578829,DGRP_306
15,5.350522144400349,-8.933288392987615,1.9301929472175352,DGRP_309
16,1.7054038121612227,-5.324796234484804,1.9002465009528007,DGRP_317
17,-20.563687278767382,-6.456430042639425,1.7838736228909557,DGRP_321
18,-1.4726404687229477,15.862592851053808,1.6075291502896631,DGRP_332
19,24.216357450058982,-7.497830552121711,1.8628159084648546,DGRP_335
20,17.76379386298514,15.455855119774336,1.8734848454518294,DGRP_350
21,0.32559782456888214,-0.1223684581908783,1.7915423916117705,DGRP_354
22,-8.892428233497565,-7.028050143708683,1.8674190380524993,DGRP_359
23,8.587927313479351,19.49268012890031,1.9704566203136369,DGRP_362
24,9.269075499777125,7.690322815221052,1.9304273685010889,DGRP_365
25,7.772840944864031,-18.322062928346295,1.722695075171132,DGRP_377
26,-13.761523498685452,-11.647509572351407,1.9487404173954443,DGRP_385
27,-1.062360473687316,2.4477886449335475,1.9685517875284728,DGRP_390
28,-1.0642647442557638,0.7519681083835539,1.8802186536221217,DGRP_395
29,13.492874890205147,5.279184760574292,1.859887451539301,DGRP_437
30,-8.075933886186961,-0.7406393619818543,2.056223308640538,DGRP_439
31,-8.07593388618696,-0.740639361981856,2.0562136670300593,DGRP_439
32,-9.906444968892883,16.846436430073926,2.0105109341622627,DGRP_517
33,-15.336419936560787,8.705329840517651,1.845265437679652,DGRP_584
34,-0.3867537828467244,-17.928436474842062,1.9800658863030507,DGRP_595
35,12.931794701845336,-2.4930297481579813,1.964926862117244,DGRP_703
36,-11.15641820959222,7.049079474438871,1.9740425908548427,DGRP_705
37,-14.594336635236319,13.873112986248811,2.047703512956337,DGRP_732
38,3.0246180416570176,19.441033312222565,2.033498985968281,DGRP_737
39,-0.26639834313675653,0.4379906785616126,1.9373193147667656,DGRP_739
40,-4.6117318581021065,14.15814631593697,1.8750744663641123,DGRP_786
41,-8.083411968649969,10.440195654522277,1.886776444643483,DGRP_787
42,19.775640788802757,2.2277278238038325,1.8107087949598402,DGRP_790
43,-14.005843576812104,-7.078402529439394,1.8481519545983915,DGRP_802
44,13.13454011679558,2.1478905595474167,1.89224438065211,DGRP_820
45,9.970049016069703,-9.245618490407661,1.8364752530337352,DGRP_832
46,10.191352945491726,-3.556556673244827,1.9795678598059074,DGRP_843
47,-10.712072506167031,-19.29103881703589,2.027185558928385,DGRP_850
48,-10.712072506167011,-19.29103881703588,2.027185431548411,DGRP_850
49,-3.064113556233532,-12.162203815832626,1.9495164954042021,DGRP_853
50,-14.895155817374793,1.6700916071913572,1.8476723853037638,DGRP_859
51,-26.181738693377014,7.876541088942658,1.903394652560178,DGRP_879
52,-7.920807523288372,-12.946481788000389,1.9036216054488353,DGRP_900
