,x,y,morphology,dgrp
0,20.533735705600744,-2.3666140592286267,1.9266735212622903,DGRP_026
1,-3.547522801932057,0.10456934977433742,1.73955384073568,DGRP_031
2,-3.5475228019320597,0.10456934977433706,1.7395527049709125,DGRP_031
3,1.4432393422254193,-0.5174384034429328,1.819831105412628,DGRP_032
4,-4.791618126846008,-18.553494352445167,1.869408998890515,DGRP_059
5,11.545136051528416,0.7195992564199731,1.9742682417962716,DGRP_075
6,-1.4658516910858503,4.08167136555355,2.097388019163904,DGRP_100
7,-1.465851691085853,4.081671365553548,2.097358732599275,DGRP_100
8,7.916505853644635,28.636450041836166,1.97962839282044,DGRP_105
9,-1.1261558927294377,-24.100819973531262,1.86352407262246,DGRP_176
10,27.94691655872137,2.789046438445001,1.9919699028656401,DGRP_195
11,7.818529617568076,-22.61952686908133,1.8323886592106773,DGRP_208
12,12.252500671020469,-14.811663484216616,2.0062477842058684,DGRP_228
13,-9.8294038737432,-6.190166796428846,1.966607690745666,DGRP_304
14,0.40538880554290824,11.433617406918428,1.8595970308578829,DGRP_306
15,7.110289967324155,4.917240163461823,1.9301929472175352,DGRP_309
16,1.4196427837612027,-5.181827060261562,1.9002465009528007,DGRP_317
17,-10.503632463377162,-18.542718728403333,1.7838736228909557,DGRP_321
18,1.8443943618242162,-16.259219502579306,1.6075291502896631,DGRP_332
19,-6.804169101029625,24.347202788843628,1.8628159084648546,DGRP_335
20,19.520971063785645,-13.411925003837675,1.8734848454518294,DGRP_350
21,-0.8708670394265156,-0.6305934792681429,1.7915423916117705,DGRP_354
22,11.576405832198743,6.420444633694834,1.8674190380524993,DGRP_359
23,-20.82914928546038,6.522130412066595,1.9704566203136369,DGRP_362
24,-4.686666540955688,-11.19931928346742,1.9304273685010889,DGRP_365
25,-18.51900485555117,-7.18587314323024,1.722695075171132,DGRP_377
26,15.656303351790504,-6.0821960680681295,1.9487404173954443,DGRP_385
27,0.1811737657484045,-1.8774387846484795,1.9685517875284728,DGRP_390
28,0.5153050922716266,0.8885643638843949,1.8802186536221217,DGRP_395
29,-10.725209129905881,8.102325349943538,1.859887451539301,DGRP_437
30,7.721225958930665,-2.4321402378991377,2.056223308640538,DGRP_439
31,7.721225958930668,-2.4321402378991372,2.0562136670300593,DGRP_439
32,-17.102178964731085,9.748562676667369,2.0105109341622627,DGRP_517
33,-11.488320591531322,-11.9890977598619,1.845265437679652,DGRP_584
34,-16.98624238444174,-0.45622761958702945,1.9800658863030507,DGRP_595
35,-1.7208220858470955,-11.723829937956323,1.964926862117244,DGRP_703
36,-3.548171026297899,14.691113749843746,1.9740425908548427,DGRP_705
37,-14.679860686956435,14.232775315852175,2.047703512956337,DGRP_732
38,3.7546229644925817,19.20198278458961,2.033498985968281,DGRP_737
39,-0.030616095562226563,0.12677898278103122,1.9373193147667656,DGRP_739
40,-9.894006566444608,12.42445746175564,1.8750744663641123,DGRP_786
41,10.994155136058772,-8.964163667889581,1.886776444643483,DGRP_787
42,-15.495057195862744,-13.263782239644865,1.8107087949598402,DGRP_790
43,-12.540513695155292,3.7054100883427585,1.8481519545983915,DGRP_802
44,-5.635121135204738,11.229615123696883,1.89224438065211,DGRP_820
45,4.384395354062274,12.812868171236634,1.8364752530337352,DGRP_832
46,-10.659604859463512,-2.789041944863463,1.9795678598059074,DGRP_843
47,16.67113967654032,13.81801267277418,2.027185558928385,DGRP_850
48,16.671139676540317,13.818012672774184,2.027185431548411,DGRP_850
49,7.372473605626528,10.119380221573108,1.9495164954042021,DGRP_853
50,6.811949913752824,-12.466626976030376,1.8476723853037638,DGRP_859
51,-26.717258001415495,-6.27991165233073,1.903394652560178,DGRP_879
52,15.421631514483616,3.2497250580440817,1.9036216054488353,DGRP_900
