x,y,morphology,dgrp,entropy0,entropy1,entropy2,labels
13.411474,10.5219755,1.881386823362912,DGRP_026,0.2916041667209958,-0.0334180974083538,-0.5171437532865537,-1
13.193721,11.268276,1.8867168052603915,DGRP_032,0.3488173939024007,0.0494649333765342,-0.1910079639489555,0
12.584133,10.382926,1.8741834771839736,DGRP_059,0.050303245125706,-0.1321373020341991,0.0493928324225036,-1
12.276374,12.271785,1.9045574538922423,DGRP_075,-0.0533166345152086,0.3689680868970756,0.7858865801560964,1
11.195161,10.863478,1.935774509582619,DGRP_100,1.8517774201201087,0.8122783413390853,-1.1319823801523954,-1
11.316115,10.767718,1.935766005151488,DGRP_100,1.8517774201201087,0.8122783413390853,-1.1319823801523954,-1
11.497061,11.531731,1.975692615638232,DGRP_105,1.8481821859047671,1.522546280133197,-1.2852442723653426,-1
13.616107,11.322596,1.898786831481838,DGRP_195,0.048569091221481,0.2668545312178443,0.1716510907072908,0
12.812144,11.353913,1.8710849478920248,DGRP_208,-0.5327054807122873,-0.1359091699369962,0.9565322173724226,0
14.004705,11.573128,1.9739298514934585,DGRP_228,0.4876043039987584,1.507416848369873,-0.0443058681950369,-1
14.244084,12.89594,1.9058024608800488,DGRP_256,0.4010566895242509,0.3576345319885325,0.3225628371011901,-1
11.923961,10.666656,1.92882145355758,DGRP_304,1.1015622654909318,0.708849626024921,1.186135922214017,-1
11.19559,12.452734,1.862776452555765,DGRP_306,-0.6048673773362552,-0.262378204099394,0.3626741132123036,-1
13.114576,12.836088,1.8623496229360168,DGRP_309,-2.098760746103398,-0.1208257311666049,0.568089156835102,-1
12.454861,11.946577,1.840756304200884,DGRP_317,-0.0771621000520514,-0.6583406321243888,-0.3029964945760115,1
11.853392,11.170624,1.9876028355953967,DGRP_320,1.0932185370659109,1.7362273600061462,1.904800514915944,-1
11.059405,12.053867,1.6563955438930638,DGRP_332,-1.786910742199829,-3.500008914210202,-2.133054887209001,-1
12.515614,12.47428,1.909112566443196,DGRP_335,0.3211957092300053,0.4172634822239907,0.1287812670235024,1
11.290498,11.661108,1.807238464879393,DGRP_350,-1.319957591484173,-1.0784364173747256,0.5056296422292552,-1
12.811828,13.45495,1.7780646894018914,DGRP_354,-1.870246726833632,-1.4900225226575856,0.2134465010005395,2
12.2584095,10.83394,1.8129521587402515,DGRP_359,-0.8146955406584689,-1.0337918807987068,-1.0266975554067477,-1
12.36982,13.683837,1.8574475251338256,DGRP_362,-1.098419041677675,-0.3024458053143416,0.2000966593517628,2
14.358702,11.525209,1.8407302534394705,DGRP_365,-0.4281397013240601,-0.6275877793341581,-1.4561414633762957,-1
12.300456,12.90461,1.7792684962424528,DGRP_377,-1.0759260841164406,-1.545222790817765,-0.6632791402267054,1
13.430364,11.070846,1.906916310868844,DGRP_385,0.3013152747311526,0.3824230836434947,1.471293694856201,0
12.589427,11.084967,1.7507846267064655,DGRP_386,-2.433607081757618,-1.876629540412709,-1.290135758906544,0
11.831905,13.042049,1.930103614589699,DGRP_390,0.7297620230979063,0.7448121571358071,1.2829649887751469,-1
12.1844015,11.61286,1.9115642649269105,DGRP_395,0.7261992165523699,0.4348448174858195,0.6243121173204124,0
12.365295,13.24464,1.8902984951240844,DGRP_405,-0.1511669642639658,0.1439835396714411,0.8426015686506574,2
12.534187,11.450091,1.816751321658359,DGRP_409,-0.6980663679271077,-0.986306098997654,-0.7487085366286155,0
13.074917,13.0734825,1.8527344188462496,DGRP_437,-0.7150489032786836,-0.4126701359676576,-0.1754864997257914,2
13.604066,13.259479,1.9283293736239755,DGRP_439,0.8977675323760879,0.7084260414346049,0.8029179630337607,-1
13.154509,13.569499,1.9164507150932224,DGRP_486,0.0573822526886527,0.556387435861837,-0.0397892011684844,2
13.640964,12.573209,1.905287954179097,DGRP_517,0.5068851949196782,0.3446352194850657,-0.1449902656203754,-1
11.5096445,13.271377,1.884746614597536,DGRP_584,0.3101896885579779,0.019316163243861,0.1295565967650893,-1
12.80758,11.587175,1.9116133811905949,DGRP_595,0.2142478050150741,0.4658694024342668,-0.001946442418074,0
14.056255,12.813298,1.9457164889931569,DGRP_705,0.7924094395615868,1.008540736745578,1.5390927715909128,-1
12.77086,12.627589,1.796618371108373,DGRP_732,-0.9870533777910606,-1.2792843828939309,-2.4828590817195497,1
11.730606,12.536481,1.992408974950187,DGRP_737,1.740465888421429,1.8279590591660564,1.2000680970056383,-1
12.979193,10.73579,1.85797758252836,DGRP_786,-0.3948515919027989,-0.3571968082350801,-0.6182358267179211,-1
11.458949,12.992587,1.8315386295885807,DGRP_787,-0.5237240301424749,-0.7668649599168982,-1.3945201431497285,-1
11.96893,12.251658,1.957470940171088,DGRP_796,1.0110922365773207,1.2041504394405134,0.6923072615362166,1
14.138498,12.156566,1.8105439073267824,DGRP_820,-0.6389238015477945,-1.0899547673612535,-0.4854089422959792,-1
13.206455,12.09904,1.911401436920471,DGRP_843,0.4777340190673993,0.447103412831385,0.688335905089598,1
11.8713665,11.839034,1.8680099358764988,DGRP_850,-0.4123456330185798,-0.1920203048914449,0.0258499513085225,-1
13.619273,12.132026,1.888131368300336,DGRP_853,0.1145867643528807,0.0892607470517373,1.705515583789642,-1
12.768795,12.255297,1.9311022810969884,DGRP_859,0.711685952005279,0.7634564361488175,-1.5115381540758928,1
13.306058,11.730278,1.89509674312322,DGRP_900,0.4285038022933425,0.1805011912574785,0.4169591770586691,0
