KL_Male,Bottleneck_Male
-0.4106957419084842,-2.678921564210006
0.024498906583111386,-0.3617392537003875
-0.04113504956509475,-0.4015254419258067
-0.5081753747054057,-0.5191879217816479
-1.1262243024301195,-0.7711947798480128
-1.910810762219159,2.303141422090981
-0.11857113226757643,-0.30067115989535526
-0.5139351871860478,-1.720512420292367
-0.5160940043195316,-1.7079558819643574
-2.654712134513133,-0.2456573009352268
-0.4492554327540019,-1.7973529263014483
0.040237082860888305,0.6253666789817985
-0.05413648597900823,1.9753204956680588
-0.8952570047580533,-0.006639096435270548
0.04122580065088947,-0.44802066638322274
-0.2484610434894596,0.48103322741981114
-2.8976051792024307,-1.644468750877165
-0.046371137616467106,-0.6018312080374123
-0.5422060370864661,0.3694920544257641
0.0470599180371524,1.0596773893771647
-0.502893007436002,-1.7206991217088117
-0.33198446078418886,-1.5714719705952878
-0.5191534840014542,-0.5550555355972651
-0.1655027521647638,-1.5461142321092964
0.034932290962385905,0.29013638444645173
-0.06009034083611926,1.2064224791874991
-0.13924357955652056,1.3725364058198501
0.04535489188083439,0.33537894328742435
-0.532046126233992,0.030135974898928598
-0.11653435618647508,0.5623438724019059
-0.3334916992172128,-0.2852640671520996
-0.391490447037091,0.12010094216339813
0.11739574700709503,1.3358676161461993
-0.13686901786550307,0.08055918188323564
-0.3772707778761983,0.35339669172038235
0.03698543876873509,-0.3617392537003875
-0.4106957419084842,-2.678921564210006
-0.13375453386082584,-0.5127910698462362
-0.5964533388879772,-0.5127910698462362
-1.2217441601498633,-0.5209631576307416
-2.001271817449187,2.0371639346542794
-0.20738421475525626,-0.4824752603230727
-0.6087453979010116,-0.3617392537003875
-0.6087644125494912,-0.36173925370038845
-2.741175552099202,-0.5127910698462362
-0.5447672095657929,-0.3617392537003875
-0.05558950378772121,-0.4563773025596545
-0.1475774245181328,1.7703848108504425
-0.9859233355363568,-0.5665686797829784
-0.05272215520837255,-0.4824752603230727
-0.3399574166930606,-0.4832661075280244
-2.989794520670511,-0.3617392537003875
-0.1394791376282766,-0.5634052909631712
-0.6303584159424516,-0.6079563501754721
-0.04335552663920744,0.1639117219450974
-0.5991844859766885,-0.36173925370038845
-0.42573393266535875,-0.3617392537003875
-0.6085469335021619,-0.6121742019352162
-0.2560290769727561,-0.3617392537003875
-0.0572198651890655,-0.4453054416903253
-0.15318568115595854,0.45740190156576754
-0.2305638942952155,0.7896297548304705
