,Unnamed: 0,entropy0,entropy1,entropy2,DGRP,Sex,Abs_volume(mm3),Thorax_length,Mean_Ferret_diam(mm),Max_Ferret_diam(mm),H-Ratio,Batch,Replicate
0,0,1.7964738286271855,1.8279271040193532,1.990906328576735,796,female,0.0207897207,,1.125092191,1.287968994,0.01614147608,,1
1,1,1.7543436912724752,1.8239234233291008,2.118681364191468,195,male,0.01825326,,0.92264849,1.05683968,0.01727155059,,1
2,2,1.4657041239349489,1.6327691077814888,1.9555696344561253,354,male,0.01979841,,0.78346876,0.87773716,0.02255619439,,1
3,3,1.681670123083069,1.6827030698773109,1.8742552171925728,306,male,0.02083244,0.73,0.90680079,1.04230153,0.01998696097,,1
4,4,1.7737178369327713,1.80978156715293,2.1855752485477526,705,female,0.0214489789,,0.8361551072,0.9435303497,0.02273268571,,1
5,5,1.6464683598616576,1.7916648635814834,2.15633796078424,853,male,0.0199901451,,0.7523349156,0.8834806524,0.02262657937,,1
6,6,1.7420000098885915,1.8560593067054203,1.821565119145799,228,female,0.01063415,,1.0117788,1.11617943,0.009527276452,,1
7,7,1.833879147515617,1.853082040032614,2.1410668158917763,850,male,0.0215952252,,0.9623687248,1.114856936,0.01937040037,,2
8,7,1.833879147515617,1.853082040032614,2.1410668158917763,850,male,0.0216240792,,0.9623539345,1.114856936,0.01939628172,,1
9,8,1.4145578400279035,1.4021255994330375,1.2277547707343093,332,male,0.01291632,,0.85253678,0.97669597,0.01322450424,,1
10,9,1.7904743643202654,1.803709709507063,2.027176364906251,843,male,0.0210486881,,0.9421214278,1.147945664,0.01833596202,,1
11,10,1.7367932058817184,1.7764903478911556,1.9378605223959025,385,male,0.01939912,,0.80738151,0.95811391,0.02024719587,,1
12,11,1.7275579329783584,1.720813867146413,1.7878395319707712,32,female,0.0205055645,0.74,0.8279535807,0.9568361024,0.0214305924,,1
13,12,1.7832737858159902,1.8854323284295025,1.7379839700669557,732,male,0.0167714328,,0.7703121183,0.9276536641,0.01807941201,,1
14,13,1.6367618316409085,1.6450878475786606,1.5111621286436323,787,female,0.0205356762,,1.021568472,1.143519631,0.01795830665,,1
15,14,1.6972313789767497,1.7678380220351495,1.822603463191,486,female,0.0201442966,,0.8942080231,1.09983781,0.01831569747,,1
16,15,1.6904448069710414,1.7280347792525437,1.8729856069990176,317,male,0.0187123,0.74,0.87169671,1.03361738,0.018103701,,1
17,16,1.781920537284971,1.7560332555375966,2.0332028253571437,739,male,0.0204731172,,0.7941786925,1.027479065,0.01992558087,,1
18,17,1.7174799164095027,1.6882775881484218,1.872523406589205,59,male,0.0154026824,,0.958384756,1.055992471,0.01458597748,,1
19,18,1.725620318870699,1.7132414399725662,1.867843011516146,820,male,0.0192990864,,1.012163742,1.11257747,0.01734628547,,1
20,19,1.723538358718346,1.7180171468795615,1.8615346484721813,584,female,0.0169462097,,1.037245828,1.163529285,0.0145644892,,1
21,20,1.7226148929035132,1.751700394283911,2.169988806779133,385,female,0.01640068,,0.93750901,1.07720313,0.01522524354,,1
22,21,1.438020625414569,1.5421416550789862,1.5351592272018586,386,female,0.01858974,0.73,0.95040616,1.02819627,0.01807995277,,1
