"id","genotype","sex","exp_type","shock_color","shock_arm","treatment","replicates","ZT0","ZT","starting_arm","starting_color","frac_time_on_shocked","frac_time_on_shockArm","frac_time_on_neutral_left","frac_time_on_neutral_right","left_handedness","first_half_left_handedness","second_half_left_handedness","activity","first_half_activity","second_half_activity","activity_shock","activity_noShock","activity_shock_color","first_half_activity_shock_color","second_half_activity_shock_color","activity_noShock_color","first_half_activity_noShock_color","second_half_activity_noShock_color","total_choices","correct_choices","incorrect_choices","first_half_total_choices","first_half_correct_choices","first_half_incorrect_choices","analysis_time","bias_frac_time_on_shocked","bias_left_handedness","bias_activity","bias_activity_shock","bias_activity_noShock","bias_activity_shock_color","bias_activity_noShock_color","bias_total_choices","bias_correct_choices","bias_incorrect_choices","bias_analysis_time","post_frac_time_on_shocked","post_left_handedness","post_first_half_left_handedness","post_second_half_left_handedness","post_activity","post_activity_shock","post_activity_noShock","post_activity_shock_color","post_activity_noShock_color","post_total_choices","post_correct_choices","post_incorrect_choices","post_first_half_total_choices","post_first_half_correct_choices","post_first_half_incorrect_choices","post_analysis_time","group","group_sex","folder","experiment_date","second_half_total_choices","second_half_correct_choices","second_half_incorrect_choices","post_second_half_total_choices","post_second_half_correct_choices","post_second_half_incorrect_choices","handedness_change","post_handedness_change","experiment_by","head_scanned","abs_dev","abs_dev_sex","ls"
51,"dgrp100","female","operant_place","green","R","noShock",3,"11:00:00",NA,"M","B",0.195352948604622,0.195352948604622,0.337037504735446,0.321000126278571,0.0363636363636365,0.115384615384615,-0.0344827586206898,1.92187407485995,1.85159494707476,1.9916223935229,NA,1.92187407485995,1.64895437883277,1.64895437883277,NA,1.39630280954036,1.34668289511196,1.44443114337472,93,67,26,37,23,14,1200,0.262644188110027,0.636363636363636,1.43375815197043,NA,1.43375815197043,1.28488797403499,1.04035704577947,12,8,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,56,44,12,NA,NA,NA,0.149867374005305,NA,"riddha",FALSE,0.0811399008713221,0.093836816517237,-4.23298448625871
52,"dgrp100","female","operant_place","green","L","noShock",3,"11:00:00",NA,"L","G",0.40636443995454,0.40636443995454,0.312034347771183,0.148377320368733,-0.481481481481482,-0.1,-0.705882352941176,1.14981629772355,1.05103182028895,1.24785466883312,NA,1.14981629772355,0.917178993837976,0.906463380767747,0.943156237644591,0.985922563263535,0.962169424681264,1.02140288032825,47,29,18,15,8,7,1200,0.762455516014235,0,0.911014134721668,NA,0.911014134721668,0.585545612176422,1.27519638293069,6,3,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,32,21,11,NA,NA,NA,0.605882352941176,NA,"riddha",FALSE,0.129871590478596,0.117174674832681,-7.95695468277645
53,"dgrp100","female","operant_place","green","M","noShock",3,"11:00:00",NA,"L","B",0.241318348276298,0.241318348276298,0.224902134107842,0.432504104053542,-0.380952380952381,-0.125,-0.538461538461539,0.999593886189896,0.843818109185751,1.15419310898706,NA,0.999593886189896,0.93867221107549,0.93867221107549,NA,0.854666570320055,0.763336282079108,0.943554872244399,34,23,11,11,9,2,1200,0.272163120567376,-0.333333333333333,0.517826333976406,NA,0.517826333976406,0.570300648979335,0.551705263042499,4,2,2,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,23,14,9,NA,NA,NA,0.413461538461539,NA,"riddha",FALSE,0.0351745011996464,0.0478714168455613,1.36985950237805
54,"dgrp100","female","operant_place","green","R","noShock",3,"11:00:00",NA,"L","B",0.317464326303826,0.317464326303826,0.259881298143705,0.308372269225912,-0.0227272727272729,0.128205128205128,-0.142857142857143,1.67349426817248,1.54754964808512,1.79848764490571,NA,1.67349426817248,1.19061046018445,1.205623749184,1.06328622078439,1.20429183517547,1.1399206515407,1.27720786619539,76,48,28,27,17,10,1200,0.209634255129349,0,0.37322234324922,NA,0.37322234324922,0.621759524992845,0.183819412335689,4,3,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,49,31,18,NA,NA,NA,0.271062271062271,NA,"riddha",FALSE,0.0409714768278823,0.0282745611819674,0.873494329093532
55,"dgrp100","female","operant_place","green","L","noShock",3,"11:00:00",NA,"R","B",0.242454855411037,0.242454855411037,0.425811339815633,0.221366334133098,0.152941176470588,-0.0285714285714286,0.28,1.681908917269,1.4661200090218,1.89606799992521,NA,1.681908917269,1.19877834496567,1.21386730564047,1.02922607633034,1.0678145182444,0.99028969724586,1.16087845534616,74,49,25,23,16,7,1200,0.023936170212766,0.5,0.556807953502672,NA,0.556807953502672,0.866178644238361,0.401760345291729,4,3,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,51,33,18,NA,NA,NA,0.308571428571429,NA,"riddha",FALSE,0.0340379940649072,0.0467349097108221,2.10484006514966
56,"dgrp100","female","operant_place","green","M","noShock",3,"11:00:00",NA,"X",NA,0.363050890263922,0.363050890263922,0.175022098749842,0.372521783053416,-0.074074074074074,-0.0357142857142857,-0.115384615384616,2.0661834242009,2.13452613546896,1.99835689655269,NA,2.0661834242009,1.14468985909607,1.15131428944976,1.11938246501049,1.4294860924138,1.40790504818176,1.46005414373396,96,58,38,41,25,16,1200,0.587033747779751,0.142857142857143,1.03366130937071,NA,1.03366130937071,0.602818746238248,1.19152646355887,9,5,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_female","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/female",20221222,55,33,22,NA,NA,NA,0.07967032967033,NA,"riddha",FALSE,0.0865580407879783,0.0738611251420634,-0.52086687804063
25,"dgrp100","male","operant_place","green","L","noShock",1,"11:00:00",NA,"R","B",0.271120090920571,0.271120090920571,0.261144083848971,0.347139790377573,0,0,0,1.47131801632374,1.47670416469987,1.46597254882658,NA,1.47131801632374,1.19828451574361,1.2017918479656,1.15780800604654,1.11541822831035,1.12557872280357,1.10447939365926,60,40,20,30,21,9,1200,0.145519077196096,0.230769230769231,1.73648114372858,NA,1.73648114372858,1.93645359018753,1.24528519261253,15,11,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,30,19,11,NA,NA,NA,0,NA,"riddha",FALSE,0.00537275855537317,0.00732415709054174,2.40529516743576
26,"dgrp100","male","operant_place","green","M","noShock",1,"11:00:00",NA,"L","B",0.259249905291072,0.259249905291072,0.416971839878773,0.188155070084607,-0.268817204301075,-0.276595744680851,-0.260869565217391,1.74298724211744,1.74427067194312,1.7417135058705,NA,1.74298724211744,1.44694278161643,1.42480871077675,1.71683564540344,1.37689808684314,1.2569877961758,1.49632192602705,78,51,27,35,22,13,1200,0.345164152617569,-0.0666666666666667,2.01628825042265,NA,2.01628825042265,1.68786516748737,1.57844596792728,16,9,7,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,43,29,14,NA,NA,NA,0.0157261794634599,NA,"riddha",FALSE,0.0172429441848718,0.00454602853895691,-0.131860639891214
27,"dgrp100","male","operant_place","green","R","noShock",1,"11:00:00",NA,"R","G",0.282863997979543,0.282863997979543,0.234751862608915,0.321000126278571,-0.0175438596491226,-0.103448275862069,0.0714285714285716,2.100861245886,2.13765068917033,2.0643496684875,NA,2.100861245886,1.26370517213516,1.27234250555071,1.22518465069568,1.79483184958013,1.7564973569172,1.83813389263704,95,72,23,45,35,10,1200,0.42058562555457,-0.076923076923077,1.74840574603465,NA,1.74840574603465,1.28434697837548,1.43630885177543,15,9,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,50,37,13,NA,NA,NA,0.174876847290641,NA,"riddha",FALSE,0.00637114850359893,0.0190680641495138,1.74533955652642
28,"dgrp100","male","operant_place","green","L","noShock",1,"11:00:00",NA,"R","B",0.221871448415204,0.221871448415204,0.275413562318475,0.384770804394494,0.0602409638554217,0.081081081081081,0.0434782608695652,1.64469961440337,1.55458751301419,1.73413111079715,NA,1.64469961440337,1.98597954334319,1.98597954334319,NA,1.04415541516785,0.93417114635543,1.15798379434653,68,39,29,28,16,12,1200,0.288376220053239,-0.0666666666666667,1.95220402449271,NA,1.95220402449271,1.9244852535671,1.43017222208374,16,9,7,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,40,23,17,NA,NA,NA,0.0376028202115158,NA,"riddha",FALSE,0.05462140106074,0.0419244854148251,0.505882543634455
29,"dgrp100","male","operant_place","green","M","noShock",1,"11:00:00",NA,"L","B",0.278444248011113,0.278444248011113,0.238919055436292,0.363303447404975,0.0447761194029851,0,0.0857142857142858,1.35022233955896,1.30172114382563,1.39835721206169,NA,1.35022233955896,1.15361684845318,1.1540138232953,1.13799047512244,1.07648536473664,1.02185882643376,1.13027471471304,57,37,20,25,17,8,1200,0.230357142857143,0,1.28631239922581,NA,1.28631239922581,1.18088976519047,1.10685655097018,9,6,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,32,20,12,NA,NA,NA,0.0857142857142858,NA,"riddha",FALSE,0.00195139853516857,0.0146483141810835,1.47978743558008
30,"dgrp100","male","operant_place","green","R","noShock",2,"11:00:00",NA,"X",NA,0.433009218335648,0.433009218335648,0.274277055183735,0.183356484404597,0,0.0303030303030303,-0.04,1.28160275896421,1.38108904076221,1.18286788412844,NA,1.28160275896421,0.817254696574263,0.708604960133526,1.13748549871539,1.23425615122066,1.23525805659062,1.23271353501613,54,39,15,31,22,9,1200,0.228039041703638,-0.333333333333333,1.60634186609177,NA,1.60634186609177,1.32385850970842,1.28462326264546,13,9,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,23,17,6,NA,NA,NA,0.0703030303030303,NA,"riddha",FALSE,0.156516368859704,0.169213284505619,1.7544469359116
31,"dgrp100","male","operant_place","green","L","noShock",2,"11:00:00",NA,"M","B",0.288546533653239,0.288546533653239,0.243717641116303,0.323020583406996,0.388429752066116,0.278688524590164,0.5,2.17299740935458,2.22791000624395,2.11849956017586,NA,2.17299740935458,1.77742926493563,1.79309594640779,1.70820439331449,1.63453393847249,1.60407143130513,1.6692314771241,103,65,38,46,29,17,1200,0.336,0.176470588235294,2.14531323850593,NA,2.14531323850593,1.4775718519445,1.9755218427029,18,12,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,57,36,21,NA,NA,NA,0.221311475409836,NA,"riddha",FALSE,0.0120536841772951,0.02475059982321,2.07719709857656
32,"dgrp100","male","operant_place","green","M","noShock",2,"11:00:00",NA,"X",NA,0.312413183482763,0.312413183482763,0.371132718777623,0.227806541229953,-0.211267605633803,-0.0810810810810811,-0.352941176470588,1.49828140516752,1.55327110440917,1.44370703598057,NA,1.49828140516752,1.07151938861188,1.06950429817514,1.08159484079554,1.18635603002084,1.10596972526908,1.3042701587416,62,42,20,29,19,10,1200,0.31055900621118,0.428571428571428,1.91438928884199,NA,1.91438928884199,1.24485094615039,1.69456951051355,16,11,5,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,33,23,10,NA,NA,NA,0.271860095389507,NA,"riddha",FALSE,0.035920334006819,0.048617249652734,2.20499176591168
57,"dgrp100","male","operant_place","green","R","noShock",2,"11:00:00",NA,"R","G",0.166813991665614,0.166813991665614,0.309761333501705,0.382876625836596,0.418181818181818,0.555555555555556,0.259259259259259,1.15420922905963,1.14366455593902,1.16467425963402,NA,1.15420922905963,1.16184219368582,1.16184219368582,NA,0.960549762754537,0.96826216291593,0.952910954197738,50,36,14,19,13,6,1200,0.186335403726708,0.5,1.13686969465991,NA,1.13686969465991,1.31345652491489,0.835660430590052,9,6,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,31,23,8,NA,NA,NA,0.296296296296296,NA,"riddha",FALSE,0.10967885781033,0.0969819421644147,-1.81188997609817
58,"dgrp100","male","operant_place","green","L","noShock",2,"11:00:00",NA,"L","G",0.31658037631014,0.31658037631014,0.330344740497538,0.195479227175148,0.236641221374046,0.26984126984127,0.205882352941176,2.31634778037365,2.21989039928042,2.4120766313982,NA,2.31634778037365,2.02221340039765,1.95067191053241,2.30107920783156,1.73112522455438,1.71759796704486,1.74706679574013,109,63,46,46,27,19,1200,0.252883762200532,0.230769230769231,1.68214789832006,NA,1.68214789832006,1.66213289335491,1.23033744289564,14,8,6,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,63,36,27,NA,NA,NA,0.0639589169000934,NA,"riddha",FALSE,0.0400875268341963,0.0527844424801112,1.54503615500235
59,"dgrp100","male","operant_place","green","M","noShock",3,"11:00:00",NA,"R","B",0.349033968935472,0.349033968935472,0.251546912488951,0.303826240686955,-0.12280701754386,-0.117647058823529,-0.130434782608696,1.20815915202624,1.3337054997949,1.08356103951262,NA,1.20815915202624,1.00944678980945,1.00705862901801,1.02338241042768,0.878522381589487,0.909752497367706,0.837718069733275,52,33,19,26,17,9,1200,0.410825199645075,-0.333333333333333,1.2606185910635,NA,1.2606185910635,1.05629155802703,1.05218941118305,10,6,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,26,16,10,NA,NA,NA,0.0127877237851663,NA,"riddha",FALSE,0.0725411194595277,0.0852380351054426,1.92508981083802
60,"dgrp100","male","operant_place","green","R","noShock",3,"11:00:00",NA,"M","B",0.401313297133476,0.401313297133476,0.237403712589973,0.237277434019447,-0.714285714285714,-0.714285714285714,-0.714285714285714,1.07718093554758,1.19532524501515,0.959928954701371,NA,1.07718093554758,0.791187701172057,0.828425333863819,0.72154480033632,0.95603476288737,0.946572663842691,0.975506355136338,44,28,16,23,15,8,1200,0.398402839396628,-0.333333333333333,0.975306665033017,NA,0.975306665033017,0.835523333250238,0.772253078541826,7,4,3,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,21,13,8,NA,NA,NA,1.11022302462516e-16,NA,"riddha",FALSE,0.124820447657533,0.137517363303447,-0.142875017328896
61,"dgrp100","male","operant_place","green","L","noShock",3,"11:00:00",NA,"R","B",0.295870690743781,0.295870690743781,0.273771940901629,0.293092562192196,0.410526315789474,0.454545454545454,0.36,1.79170056175531,1.67952698751864,1.90302690355816,NA,1.79170056175531,1.49767838145243,1.45223208341175,1.94456697885243,1.35278989067376,1.27844378662796,1.42900633695971,83,54,29,34,21,13,1200,0.236702127659574,0.5,0.935002058972575,NA,0.935002058972575,0.930311315542603,0.792487703204286,9,5,4,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dgrp100_noShock","dgrp100_noShock_male","/Users/riddha/Documents/Current_Work/operant_place/20221222/csv/dgrp100_noShock/male",20221222,49,33,16,NA,NA,NA,0.0945454545454544,NA,"riddha",FALSE,0.0193778412678369,0.0320747569137518,1.52645938223144
