DGRP	sex	mean_frac	mean_ls	mean_ns_frac	mean_ns_ls	cohen.d_frac	p.value_frac	cohen.d_ls	p.value_ls	LSM_frac	LSM_frac_se	LSM_ls	LSM_ls_se	KL_frac	KL_ls	en_s_frac	en_ns_frac	en_s_ls	en_ns_ls
DGRP_100	NA	0.258976301721598	-0.102029558281796	0.299385444290104	-0.584827224094701	0.437363435235973	0.0957042504911181	-0.23603798170307	0.348782431544418	0.0423517096629059	0.0221811475329781	0.403547246465385	0.523096299526191	1.82981410350435	0.64873348873802	1.6344985714405	1.46522691049474	1.87833761266135	1.40229902275616
DGRP_100	M	0.248903481079261	0.111066703646232	0.289572547038768	-1.03122563591219	0.556053196954731	0.130160752840771	-0.616129073387403	0.0945995518143819	0.0461373861654807	0.0295799833911674	0.403547246465385	0.523096299526191	1.1837069414643	0.0547209683380165	0.860851390631232	0.661563238157982	1.24401669579289	1.45533303519283
DGRP_100	F	0.269049122363935	-0.315125820209823	0.310600184005917	-0.138428812277214	0.373789820454626	0.319633516830517	0.0794339297312579	0.824116092586596	0.0374037380517024	0.0325249880536304	0.403547246465385	0.523096299526191	2.4972661601466	3.87251281205646	1.25198942081371	0.89820533970415	1.34212572274875	0.98689944883853
DGRP_208	NA	0.270878199339043	0.690376834468307	0.314428245817744	-0.391702073405311	0.41123970409378	0.143130598192835	-0.418667130250445	0.13877507088847	0.000672621069228461	0.0225751080031734	0.604181483897388	0.561416924557747	3.08395332630055	0.742083801399183	1.75105260526362	1.33063987643126	1.74306551268186	1.80098899843365
DGRP_208	M	0.248788174797722	1.01137329047409	0.287377972734701	-0.170037297035758	0.411767247339884	0.28916209397692	-0.39474597777397	0.306945383139715	-0.00910772544471685	0.0305705824847213	0.604181483897388	0.561416924557747	3.52659308248795	0.106367738898705	1.09337471755665	0.636514168294813	1.11636707528934	1.22933621590766
DGRP_208	F	0.296649894637251	0.315880969128226	0.341478518900787	-0.613366849774863	0.389182134924891	0.348746732267532	-0.434622148523632	0.305971964972621	0.0107145029031149	0.0325705704610679	0.604181483897388	0.561416924557747	1.54905430582815	0.107619021220886	1.30860538725345	0.853236150555778	1.31437384300695	1.40194545937873
DGRP_373	NA	0.287634408602151	0.22222232380547	0.315702338282983	-0.345783571712017	0.260095065250072	0.318240420106125	-0.278202809501163	0.274863876398999	0.042115384981142	0.0221891445458828	0.379913784109966	0.527988083668901	0.584388699107337	1.90934437049555	1.76700919107457	1.62457213492485	2.07517501258949	1.5796543127498
DGRP_373	M	0.268825738180577	0.439212056672911	0.315316180235535	0.114934769470054	0.553794193471915	0.13395093519647	-0.152502509506336	0.669494206715054	0.0618524773853942	0.0296100356128241	0.379913784109966	0.527988083668901	1.27502650515979	2.49647392440602	0.990835386443849	0.830523691482846	1.40753174071932	1.14327520619421
DGRP_373	F	0.306443079023724	-0.00923339125313477	0.316143661765782	-0.806501912894088	0.0742833960168312	0.841212599380575	-0.408828850913207	0.277580476300488	0.0173017263379775	0.0325325129720694	0.379913784109966	0.527988083668901	0.636606036215883	0.16967905705273	1.40194545937873	1.19734013399678	1.27002786111697	1.40139264660812
DGRP_091	NA	0.376558520188734	-0.501883742168138	0.32426823666959	-0.397635400705849	-0.349594040625444	0.181418621717995	0.0550715426381905	0.827304994161973	-0.00799463059581452	0.0222111648572808	-0.136679500525869	0.528296231407029	1.47000696156988	0.320074869375328	1.8928117869972	1.71699175899951	1.84566140369358	1.74103606399753
DGRP_091	M	0.393296692972567	-0.380325797582051	0.325919140673932	-0.877460159461814	-0.438659369102284	0.224574892090814	-0.302034829313166	0.399912270247475	-0.0217333912556484	0.0291847788318171	-0.136679500525869	0.528296231407029	1.74343666636019	0.251721813395308	1.28204624005285	1.16269983349757	1.18030455699462	1.24401669579289
DGRP_091	F	0.357429179864355	-0.631545549726631	0.322381489236055	0.0821893580501165	-0.234630656329586	0.541102979044318	0.337818317960441	0.350342897979612	-0.00029353092480227	0.0330869426880899	-0.136679500525869	0.528296231407029	0.858534622908361	0.24266593143666	1.33166431029302	1.09130300064685	1.23514465153267	1.27671970477818
DGRP_195	NA	0.207143562889043	0.416407449922672	0.30895632543197	-0.721451313191175	0.989220518968943	0.000437223704304534	-0.486266719798314	0.0668623275567903	0.0262892961770483	0.0225541114301064	-0.0200450277112303	0.544761726996358	3.30046248708718	0.263248006565877	1.73288966485903	1.46291952819335	1.87793596425931	2.04426806329855
DGRP_195	M	0.186819484240688	0.633029260785818	0.301215594338803	-1.10251836763808	1.42745791699235	0.000557282240867752	-0.757038230891948	0.0536048486473067	0.0316287851649555	0.0302362845154445	-0.0200450277112303	0.544761726996358	3.99920172912412	0.067959614718159	0.990835386443849	0.853236150555778	1.32175583998232	1.16999299696686
DGRP_195	F	0.228919361440852	0.199785639059526	0.316697056525137	-0.340384258744273	0.712891351234425	0.073091799220368	-0.222751648687065	0.548359489329084	0.018826895108041	0.0329558482587595	-0.0200450277112303	0.544761726996358	4.0072696176774	0.280733272299912	1.33373602720281	0.690923309313818	1.136916591833	1.52924829303769
DGRP_228	NA	0.230889235569423	0.689714626158903	0.286059109031028	0.125244978154392	0.47322471839113	0.0793437381714392	-0.280861825298694	0.290845161624855	0.027159723981873	0.0221964673994562	0.427551811470903	0.541585964744857	1.77728662300618	0.607374441072124	1.65443092893737	1.55350047877343	1.96667338624826	1.71043678935792
